,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-aim,Python
49,ml-all-pairs,Python
50,ml-ane-transformers,Python
51,ml-aspanformer,Python
52,ml-autofocusformer,Python
53,ml-autofocusformer-segmentation,Python
54,ml-batchquant,Python
55,ml-behavioral-testing-for-mt,
56,ml-calibration,Jupyter Notebook
57,ml-capsules-inverted-attention-routing,Python
58,ml-cifar-10-faster,Python
59,ml-code-switched-speech-translation,Python
60,ml-codeswitching-translations,
61,ml-collegial-ensembles,Python
62,ml-core,Python
63,ml-covid-mobility,R
64,ml-cread,Python
65,ml-cvnets,Python
66,ml-cvpr2019-swd,Python
67,ml-dab,Python
68,ml-data-parameters,Python
69,ml-delphi,
70,ml-destseg,Python
71,ml-dms-dataset,Python
72,ml-dprecs,Jupyter Notebook
73,ml-dr,Python
74,ml-duet,Python
75,ml-entity-deduction-arena,Python
76,ml-entropy-reconstruction,Python
77,ml-envmapnet,Python
78,ml-equivariant-neural-rendering,Jupyter Notebook
79,ml-facelit,Python
80,ml-fastvit,Python
81,ml-fct,Python
82,ml-ferret,Python
83,ml-finerecon,Python
84,ml-flair,Jupyter Notebook
85,ml-gaudi,
86,ml-gmpi,Python
87,ml-gsn,Python
88,ml-heart-rate-models,Python
89,ml-hierarchical-confusion-matrix,TypeScript
90,ml-hypersim,Python
91,ml-interspeech2022-phi_rtn,
92,ml-kge,Python
93,ml-knowledge-conflicts,Python
94,ml-live-pose,
95,ml-mkqa,Python
96,ml-mobileone,Swift
97,ml-multiple-futures-prediction,Python
98,ml-ncg,Python
99,ml-neilf,Python
100,ml-neilfpp,Python
101,ml-neuman,Python
102,ml-no-token-left-behind,Jupyter Notebook
103,ml-nvas3d,Python
104,ml-pointconvformer,Python
105,ml-pointersect,Python
106,ml-probabilistic-attention,Python
107,ml-projunit,Python
108,ml-qrecc,Python
109,ml-quant,Python
110,ml-reed,Python
111,ml-robust-expert-augmentations,Python
112,ml-sad,Python
113,ml-selfcond,Python
114,ml-shuffling-amplification,Python
115,ml-sigma-reparam,Python
116,ml-spatial-librispeech,
117,ml-spin,Python
118,ml-stable-diffusion,Python
119,ml-stuttering-events-dataset,Python
120,ml-symphony,Svelte
121,ml-tic-clip,
122,ml-tract,Python
123,ml-transcript-translation-consistency-ratings,
124,ml-translate-vis,TypeScript
125,ml-tree-dst,Python
126,ml-tune-mode-convbn,Python
127,ml-upscale,Jupyter Notebook
128,ml-uwac,Python
129,ml-vfi-smiff,Python
130,ml-vision-transformers-ane,Python
131,openjdk,Java
132,password-manager-resources,JavaScript
133,sample-backyard-birds,Swift
134,sample-cloudkit-coredatasync,Swift
135,sample-cloudkit-encryption,Swift
136,sample-cloudkit-privatedb,Swift
137,sample-cloudkit-privatedb-sync,Swift
138,sample-cloudkit-queries,Swift
139,sample-cloudkit-sharing,Swift
140,sample-cloudkit-sync-engine,Swift
141,sample-cloudkit-tooling,JavaScript
142,sample-cloudkit-zonesharing,Swift
143,sample-food-truck,Swift
144,servicetalk,Java
145,sourcekit-lsp,Swift
146,swift,C++
147,swift-3-api-guidelines-review,Swift
148,swift-algorithms,Swift
149,swift-aoc-starter-example,Swift
150,swift-argument-parser,Swift
151,swift-asn1,Swift
152,swift-async-algorithms,Swift
153,swift-async-dns-resolver,Swift
154,swift-atomics,Swift
155,swift-book,Markdown
156,swift-cassandra-client,Swift
157,swift-certificates,Swift
158,swift-clang,C++
159,swift-clang-tools-extra,C++
160,swift-cluster-membership,Swift
161,swift-cmake-examples,CMake
162,swift-cmark,C
163,swift-collections,Swift
164,swift-collections-benchmark,Swift
165,swift-community-hosted-continuous-integration,
166,swift-compiler-rt,C
167,swift-corelibs-foundation,Swift
168,swift-corelibs-libdispatch,C
169,swift-corelibs-xctest,Swift
170,swift-crypto,C
171,swift-distributed-actors,Swift
172,swift-distributed-tracing,Swift
173,swift-distributed-tracing-baggage-core,Swift
174,swift-distributed-tracing-extras,Swift
175,swift-docc,Swift
176,swift-docc-plugin,Swift
177,swift-docc-render,JavaScript
178,swift-docc-render-artifact,
179,swift-docc-symbolkit,Swift
180,swift-docker,Dockerfile
181,swift-driver,Swift
182,swift-evolution,Markdown
183,swift-evolution-staging,Swift
184,swift-experimental-string-processing,Swift
185,swift-format,Swift
186,swift-foundation,Swift
187,swift-foundation-icu,C
188,swift-getting-started-cli,Swift
189,swift-getting-started-package-library,Swift
190,swift-http-structured-headers,Swift
191,swift-http-types,Swift
192,swift-installer-scripts,CMake
193,swift-integration-tests,Python
194,swift-internals,HTML
195,swift-issues,
196,swift-libcxx,C++
197,swift-llbuild,C++
198,swift-llbuild2,Swift
199,swift-lldb,C++
200,swift-llvm,LLVM
201,swift-llvm-bindings,Swift
202,swift-lmdb,C
203,swift-log,Swift
204,swift-markdown,Swift
205,swift-metrics,Swift
206,swift-metrics-extras,Swift
207,swift-mmio,Swift
208,swift-nio,Swift
209,swift-nio-examples,Swift
210,swift-nio-extras,Swift
211,swift-nio-http2,Swift
212,swift-nio-imap,Swift
213,swift-nio-nghttp2-support,Swift
214,swift-nio-ssh,Swift
215,swift-nio-ssl,C
216,swift-nio-ssl-support,Swift
217,swift-nio-transport-services,Swift
218,swift-nio-zlib-support,Swift
219,swift-numerics,Swift
220,swift-openapi-generator,Swift
221,swift-openapi-runtime,Swift
222,swift-openapi-urlsession,Swift
223,swift-org-website,SCSS
224,swift-package-collection-generator,Swift
225,swift-package-manager,Swift
226,swift-package-registry-compatibility-test-suite,Swift
227,swift-protobuf,Swift
228,swift-protobuf-plugin,
229,swift-protobuf-test-conformance,
230,swift-sample-distributed-actors-transport,Swift
231,swift-sdk-generator,Swift
232,swift-se0270-range-set,Swift
233,swift-se0288-is-power,Swift
234,swift-service-context,Swift
235,swift-service-discovery,Swift
236,swift-source-compat-suite,Python
237,swift-standard-library-preview,Swift
238,swift-statsd-client,Swift
239,swift-stress-tester,Swift
